y,inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,assets_estimate,response_time_minutes,volunteering_index
0,New York,1980,Female,Heterosexual / straight,No,2-year,Yes,White,Homemaker,Broadband,Broadband,Married,Republican,Moderate,No,Very important,Seldom,Once a day,Protestant,1,Some of the time,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,42993.0,,0.94
1,Alabama,1953,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$30,000 - $39,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,14.2,0.0
0,New York,1940,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Moderate,No,Somewhat important,Once a week,Seldom,Roman Catholic,0,Only now and then,Prefer not to say,Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,40348.0,11.3,1.46
0,Wisconsin,1994,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Conservative,No,Not too important,Seldom,A few times a month,Protestant,0,Only now and then,"$20,000 - $29,999",Other,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,47573.0,1.3,0.0
1,North Carolina,1982,Male,Bisexual,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Very important,More than once a week,Several times a day,Roman Catholic,0,Most of the time,"$60,000 - $69,999",Other,City,I am an immigrant to the USA and a naturalized citizen,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,42911.0,8.3,0.57
0,Massachusetts,1938,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Dial-up,,Married,Republican,Conservative,No,Somewhat important,Never,Seldom,Roman Catholic,0,Most of the time,"$10,000 - $19,999",Own,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,6616.0,9.5,1.57
1,Georgia,1975,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$500,000 or more",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,497533.0,7.2,0.07
0,Ohio,1943,Male,Gay man,No,High school graduate,Yes,White,Retired,Broadband,,Divorced,Democrat,Liberal,No,Not at all important,Seldom,Seldom,Nothing in particular,0,Most of the time,"$20,000 - $29,999",Rent,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,72262.0,13.0,0.7
1,Kentucky,1992,Female,Heterosexual / straight,No,4-year,Yes,Mixed,Student,Broadband,Broadband,Never married,Democrat,Very liberal,No,Somewhat important,Never,A few times a week,Protestant,0,Only now and then,"$20,000 - $29,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,19788.0,5.8,0.0
1,Illinois,1961,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,Yes,Somewhat important,A few times a year,Seldom,Nothing in particular,2,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,61932.0,13.4,0.55
1,Virginia,1996,Female,Heterosexual / straight,No,Some college,Yes,Mixed,Student,Broadband,Broadband,Never married,Democrat,Liberal,No,Not at all important,Never,Never,Nothing in particular,0,Only now and then,"$200,000 - $249,999",Rent,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,223054.0,12.7,0.0
1,Florida,1993,Male,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Dial-up,Broadband,Married,Democrat,Liberal,No,Not too important,Once or twice a month,A few times a week,Roman Catholic,1,Some of the time,"$70,000 - $79,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,76013.0,4.5,0.32
1,California,1986,Female,Lesbian / gay woman,No,4-year,Yes,Asian,Full-time,Broadband,Broadband,Married,Independent,Moderate,Yes,Somewhat important,Once or twice a month,A few times a week,Nothing in particular,0,Some of the time,"$100,000 - $119,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,80892.0,5.9,2.67
1,Arizona,1985,Male,Other,Yes,Post-grad,Yes,Other,Student,Broadband,Broadband,Domestic / civil partnership,Other,Very liberal,No,Not at all important,Never,Never,Something else,0,Most of the time,"$20,000 - $29,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,48833.0,12.8,0.0
0,Nevada,1958,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Divorced,Democrat,Liberal,No,Somewhat important,A few times a year,Seldom,Roman Catholic,0,Some of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,34951.0,11.3,0.58
1,Michigan,1955,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Not too important,A few times a year,Once a day,Protestant,0,Some of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,32012.0,5.9,0.26
0,Arizona,1965,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Not at all important,Never,Seldom,Nothing in particular,0,Some of the time,"$150,000 - $199,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,148109.0,11.5,0.0
1,Pennsylvania,1940,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Widowed,Republican,Moderate,No,Very important,Once a week,Several times a day,Roman Catholic,0,Some of the time,"$20,000 - $29,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,44053.0,13.5,1.15
1,Louisiana,1992,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Moderate,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,30455.0,10.5,0.0
0,Nevada,1956,Female,Heterosexual / straight,No,Some college,Yes,White,Part-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Seldom,A few times a month,Jewish,0,Most of the time,"$30,000 - $39,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,13.6,0.0
0,Missouri,1988,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,Once a week,Once a day,Protestant,2,Most of the time,Prefer not to say,Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,75257.0,6.5,0.8
1,Illinois,1963,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Conservative,No,Very important,Seldom,A few times a week,Roman Catholic,0,Some of the time,"$70,000 - $79,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,23036.0,9.7,1.14
0,Massachusetts,1965,Female,Heterosexual / straight,Prefer not to say,High school graduate,Yes,Black,Permanently disabled,Broadband,,Divorced,Independent,Not sure,No,Very important,Seldom,Several times a day,Nothing in particular,0,Some of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,14.8,0.91
0,New Jersey,1934,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Married,Independent,Conservative,No,Very important,Once a week,Several times a day,Roman Catholic,0,Most of the time,Prefer not to say,Own,Town,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,85236.0,14.2,0.0
0,Illinois,1976,Female,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,,Never married,Democrat,Liberal,No,Not at all important,Never,A few times a month,Nothing in particular,0,Most of the time,"$80,000 - $99,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,74827.0,13.2,0.0
1,Tennessee,1940,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,Broadband,Married,Independent,Moderate,No,Somewhat important,A few times a year,Once a day,Protestant,0,Most of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,82106.0,10.8,0.9
0,Wisconsin,1969,Male,Heterosexual / straight,No,4-year,Yes,White,Unemployed,Broadband,,Married,Republican,Conservative,Yes,Very important,Once or twice a month,A few times a week,Protestant,1,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,54634.0,15.7,0.0
1,Arizona,1935,Male,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,,Widowed,Other,Very conservative,No,Somewhat important,Seldom,Seldom,Protestant,0,Most of the time,"$30,000 - $39,999",Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,50223.0,18.1,0.94
1,New Hampshire,1980,Female,Heterosexual / straight,No,4-year,Yes,White,Part-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,2,Some of the time,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,81452.0,8.3,0.0
0,Ohio,1970,Female,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Not too important,A few times a year,A few times a month,Nothing in particular,0,Some of the time,"$40,000 - $49,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,35743.0,8.1,0.54
0,Wisconsin,1993,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,,Never married,Democrat,Liberal,No,Not at all important,Never,A few times a month,Nothing in particular,0,Only now and then,"$30,000 - $39,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,46838.0,19.8,0.63
0,Florida,1981,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Divorced,Independent,Moderate,No,Somewhat important,Seldom,A few times a week,Agnostic,2,Some of the time,"$40,000 - $49,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,53754.0,7.1,2.08
0,Oregon,1963,Male,Heterosexual / straight,No,Some college,Yes,Black,Temporarily laid off,Broadband,,Divorced,Independent,Moderate,Yes,Very important,Seldom,Several times a day,Nothing in particular,0,Most of the time,"Less than $10,000",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,29176.0,12.6,1.03
1,Minnesota,1936,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,,Married,Independent,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,79467.0,11.4,1.38
1,Texas,1954,Male,Gay man,No,Post-grad,Yes,White,Retired,Broadband,Broadband,Married,Democrat,Liberal,No,Somewhat important,Never,A few times a month,Nothing in particular,0,Most of the time,"$70,000 - $79,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,47576.0,9.6,1.02
1,New Jersey,1951,Female,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,,Widowed,Independent,Conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$120,000 - $149,999",Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,149598.0,12.7,0.71
1,Michigan,1958,Male,Lesbian / gay woman,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Not too important,Never,A few times a month,Roman Catholic,0,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,100377.0,,0.12
1,Florida,1980,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Separated,Democrat,Liberal,No,Not at all important,Never,Never,Agnostic,0,Some of the time,"$40,000 - $49,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,32984.0,10.8,0.0
1,Oklahoma,1946,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Widowed,Independent,Conservative,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$30,000 - $39,999",Own,Rural area,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,45449.0,14.5,0.02
0,Louisiana,1972,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Moderate,No,Not too important,Seldom,Seldom,Nothing in particular,0,Most of the time,"$80,000 - $99,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,96122.0,11.7,0.0
1,Arkansas,1984,Female,Heterosexual / straight,No,Some college,Yes,White,Homemaker,,,Domestic / civil partnership,Independent,Moderate,No,Not at all important,Never,Never,Nothing in particular,3,Some of the time,"$20,000 - $29,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,6341.0,4.9,0.81
1,Georgia,1945,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Very important,A few times a year,Several times a day,Roman Catholic,0,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,144569.0,8.6,1.82
0,Florida,1993,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Never,Never,Nothing in particular,0,Only now and then,"$40,000 - $49,999",Rent,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,70673.0,7.8,0.65
0,North Carolina,1951,Male,Heterosexual / straight,No,2-year,Yes,White,Retired,Broadband,,Married,Republican,Very conservative,No,Very important,Once a week,Seldom,Roman Catholic,0,Most of the time,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,58337.0,15.8,0.68
1,New York,1991,Male,Heterosexual / straight,No,Post-grad,Yes,Asian,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Not too important,Seldom,Never,Agnostic,0,Some of the time,"$150,000 - $199,999",Rent,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,153920.0,3.5,0.0
1,Connecticut,1945,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Never married,Independent,Moderate,No,Not at all important,Seldom,Seldom,Roman Catholic,0,Hardly at all,"$40,000 - $49,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,19958.0,12.5,1.04
0,Oregon,1950,Male,Gay man,No,No HS,Yes,White,Permanently disabled,Broadband,,Never married,Democrat,Liberal,No,Not at all important,Seldom,Seldom,Atheist,0,Most of the time,"$10,000 - $19,999",Rent,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,10865.0,14.9,0.58
1,Minnesota,1982,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Somewhat important,Once or twice a month,A few times a week,Jewish,3,Most of the time,"$100,000 - $119,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,131939.0,10.3,0.82
1,Michigan,1993,Female,Heterosexual / straight,No,4-year,Yes,White,Student,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not too important,Seldom,Never,Jewish,0,Most of the time,"$20,000 - $29,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,2684.0,5.7,0.38
0,Texas,1956,Female,Heterosexual / straight,No,Post-grad,Yes,Hispanic,Retired,Broadband,,Divorced,Independent,Moderate,No,Very important,Once a week,A few times a week,Roman Catholic,0,Some of the time,"$40,000 - $49,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,101112.0,8.5,0.0
1,Nevada,1972,Female,Lesbian / gay woman,No,Post-grad,Yes,White,Student,Broadband,Broadband,Never married,Independent,Moderate,No,Not at all important,Never,Never,Roman Catholic,0,Most of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,40105.0,12.8,0.56
0,Pennsylvania,1980,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Liberal,No,Not too important,Never,Once a week,Agnostic,0,Some of the time,"$60,000 - $69,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,56048.0,15.8,1.26
0,Idaho,1963,Male,Heterosexual / straight,No,No HS,Yes,White,Homemaker,Broadband,,Married,Republican,Very conservative,No,Not at all important,Never,Never,Nothing in particular,3,Most of the time,"$40,000 - $49,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,67849.0,,0.0
0,Ohio,1943,Male,Heterosexual / straight,No,Post-grad,Yes,Native American,Retired,Broadband,Broadband,Married,Other,Moderate,No,Not at all important,Seldom,Seldom,Nothing in particular,0,Most of the time,"$100,000 - $119,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,98728.0,15.2,1.04
0,Iowa,1982,Female,Heterosexual / straight,No,4-year,Yes,White,Homemaker,,,Married,Republican,Liberal,Yes,Somewhat important,Once or twice a month,A few times a week,Protestant,3,Some of the time,"$20,000 - $29,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,36590.0,9.1,0.27
1,California,1971,Female,Heterosexual / straight,No,4-year,Yes,Middle Eastern,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"$80,000 - $99,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,85170.0,9.6,0.64
0,Illinois,1962,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,112652.0,5.1,1.15
0,Connecticut,1978,Female,Heterosexual / straight,No,2-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Somewhat important,Once a week,Once a day,Roman Catholic,2,Only now and then,"$120,000 - $149,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,150110.0,11.0,1.12
1,Massachusetts,1982,Female,Prefer not to say,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Very conservative,No,Not at all important,Never,Never,Roman Catholic,1,Only now and then,"$150,000 - $199,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,147260.0,6.5,0.45
1,Oklahoma,1998,Male,Heterosexual / straight,No,Some college,Yes,White,Student,Broadband,Broadband,Never married,Independent,Moderate,No,Somewhat important,Once or twice a month,Several times a day,Protestant,0,Some of the time,"$60,000 - $69,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,53088.0,8.0,0.17
1,Texas,1965,Male,Heterosexual / straight,No,4-year,Yes,White,Unemployed,Broadband,,Married,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$500,000 or more",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,483602.0,15.6,0.43
1,New Jersey,1989,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not too important,Never,A few times a week,Something else,0,Most of the time,"$80,000 - $99,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,76300.0,,0.0
1,New York,1983,Male,Gay man,No,4-year,Yes,White,Part-time,Broadband,,Never married,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$50,000 - $59,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,79091.0,9.8,0.29
0,Arizona,1976,Male,Heterosexual / straight,No,Some college,Yes,Other,Full-time,Broadband,Broadband,Married,Republican,Very conservative,No,Very important,Once a week,Several times a day,Roman Catholic,0,Most of the time,"$50,000 - $59,999",Own,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,112420.0,6.6,0.16
0,Tennessee,1980,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,3,Only now and then,"$40,000 - $49,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,84392.0,7.3,1.13
1,Massachusetts,1977,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,,Broadband,Married,Democrat,Not sure,No,Somewhat important,A few times a year,Seldom,Roman Catholic,0,Only now and then,"$80,000 - $99,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,63968.0,,0.0
0,Illinois,1985,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,,,Divorced,Independent,Very conservative,Yes,Somewhat important,Once a week,Several times a day,Nothing in particular,0,Some of the time,"$50,000 - $59,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,33543.0,17.2,0.21
0,Florida,1950,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Very important,Once a week,Once a day,Roman Catholic,0,Most of the time,"$20,000 - $29,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,13.5,1.65
0,Oklahoma,1993,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,,Married,Independent,Moderate,No,Not too important,Never,Never,Nothing in particular,1,Some of the time,"$30,000 - $39,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,77476.0,13.4,0.0
1,Virginia,1974,Female,Heterosexual / straight,Prefer not to say,4-year,Yes,Black,Full-time,,,Never married,Democrat,Moderate,No,Somewhat important,A few times a year,Don't know,Roman Catholic,2,Most of the time,"Less than $10,000",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,1470.0,7.2,1.05
1,Wisconsin,1969,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Somewhat important,Once or twice a month,Once a day,Protestant,1,Some of the time,"$60,000 - $69,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,8281.0,10.1,0.68
1,Idaho,1958,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Very important,Once a week,A few times a week,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,183336.0,5.8,0.0
0,Washington,1948,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Widowed,Democrat,Moderate,No,Not too important,Never,Several times a day,Something else,0,Only now and then,"$30,000 - $39,999",Own,Rural area,I was born in the USA but at least one of my parents is an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,0.0,12.3,0.0
0,Florida,1959,Female,Heterosexual / straight,No,High school graduate,Yes,White,Other,Broadband,,Married,Republican,Conservative,No,Very important,Once a week,Several times a day,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,60107.0,14.4,0.7
0,Georgia,1954,Male,Heterosexual / straight,No,No HS,Yes,White,Retired,Broadband,Broadband,Married,Republican,Conservative,No,Not too important,Never,Never,Nothing in particular,0,Most of the time,"$60,000 - $69,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,69106.0,11.0,0.67
0,New York,1943,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Separated,Independent,Moderate,No,Somewhat important,Seldom,Several times a day,Roman Catholic,0,Most of the time,"$30,000 - $39,999",Own,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,35053.0,16.5,1.22
0,Alabama,1986,Female,Heterosexual / straight,No,2-year,Yes,Black,Full-time,Broadband,,Never married,Not sure,Liberal,Yes,Very important,Never,Several times a day,Protestant,0,Some of the time,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,41268.0,8.4,0.0
1,Wisconsin,1982,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,,Married,Independent,Moderate,No,Not at all important,Never,Never,Nothing in particular,2,Hardly at all,"$80,000 - $99,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,97669.0,9.7,0.11
0,Missouri,1955,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Democrat,Conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,71988.0,10.0,0.0
